%column 1: human-friendly name, in quotes
%column 2: python identifier for the category
%column 3: Wikidata id of the wikipedia page
%column 4: Wikipedia page (if close fuzzy match with one of the Math wikipedia pages as queried with Tom's select)
%column 5: fuzzy match score: number of characters that did not match
"objects" sage.categories.objects.Objects   
"sets with partial maps" sage.categories.sets_with_partial_maps.SetsWithPartialMaps   
"sets" sage.categories.sets_cat.Sets Q36161 Set_(mathematics) 1.0
"sets with grading" sage.categories.sets_with_grading.SetsWithGrading   
"magmas" sage.categories.magmas.Magmas   
"additive magmas" sage.categories.additive_magmas.AdditiveMagmas   
"magmas and additive magmas" sage.categories.magmas_and_additive_magmas.MagmasAndAdditiveMagmas   
"distributive magmas and additive magmas" sage.categories.distributive_magmas_and_additive_magmas.DistributiveMagmasAndAdditiveMagmas   
"additive semigroups" sage.categories.additive_semigroups.AdditiveSemigroups   
"additive associative distributive magmas and additive magmas" sage.categories.distributive_magmas_and_additive_magmas.DistributiveMagmasAndAdditiveMagmas.AdditiveAssociative   
"additive commutative additive magmas" sage.categories.additive_magmas.AdditiveMagmas.AdditiveCommutative   
"commutative additive semigroups" sage.categories.commutative_additive_semigroups.CommutativeAdditiveSemigroups   
"additive commutative additive associative distributive magmas and additive magmas" sage.categories.distributive_magmas_and_additive_magmas.DistributiveMagmasAndAdditiveMagmas.AdditiveAssociative.AdditiveCommutative   
"additive unital additive magmas" sage.categories.additive_magmas.AdditiveMagmas.AdditiveUnital   
"additive monoids" sage.categories.additive_monoids.AdditiveMonoids   
"commutative additive monoids" sage.categories.commutative_additive_monoids.CommutativeAdditiveMonoids   
"additive commutative additive associative additive unital distributive magmas and additive magmas" sage.categories.distributive_magmas_and_additive_magmas.DistributiveMagmasAndAdditiveMagmas.AdditiveAssociative.AdditiveCommutative.AdditiveUnital   
"semigroups" sage.categories.semigroups.Semigroups   
"associative additive commutative additive associative additive unital distributive magmas and additive magmas" sage.categories.distributive_magmas_and_additive_magmas.DistributiveMagmasAndAdditiveMagmas.AdditiveAssociative.AdditiveCommutative.AdditiveUnital.Associative   
"additive inverse additive unital additive magmas" sage.categories.additive_magmas.AdditiveMagmas.AdditiveUnital.AdditiveInverse   
"additive groups" sage.categories.additive_groups.AdditiveGroups   
"commutative additive groups" sage.categories.commutative_additive_groups.CommutativeAdditiveGroups   
"rngs" sage.categories.rngs.Rngs   
"unital magmas" sage.categories.magmas.Magmas.Unital   
"monoids" sage.categories.monoids.Monoids   
"semirings" sage.categories.semirings.Semirings   
"rings" sage.categories.rings.Rings Q17097924 G-ring 3.0
"domains" sage.categories.domains.Domains Q199006 Codomain 3.0
"commutative magmas" sage.categories.magmas.Magmas.Commutative   
"commutative monoids" sage.categories.monoids.Monoids.Commutative   
"commutative rings" sage.categories.commutative_rings.CommutativeRings   
"integral domains" sage.categories.integral_domains.IntegralDomains   
"gcd domains" sage.categories.gcd_domains.GcdDomains   
"unique factorization domains" sage.categories.unique_factorization_domains.UniqueFactorizationDomains   
"principal ideal domains" sage.categories.principal_ideal_domains.PrincipalIdealDomains   
"euclidean domains" sage.categories.euclidean_domains.EuclideanDomains   
"division rings" sage.categories.division_rings.DivisionRings   
"fields" sage.categories.fields.Fields   
"finite sets" sage.categories.finite_sets.FiniteSets   
"finite semigroups" sage.categories.finite_semigroups.FiniteSemigroups   
"finite monoids" sage.categories.finite_monoids.FiniteMonoids   
"finite additive groups" sage.categories.additive_groups.AdditiveGroups.Finite   
"finite commutative rings" sage.categories.commutative_rings.CommutativeRings.Finite   
"enumerated sets" sage.categories.enumerated_sets.EnumeratedSets   
"finite enumerated sets" sage.categories.finite_enumerated_sets.FiniteEnumeratedSets   
"finite enumerated fields" sage.categories.finite_fields.FiniteFields   
"left modules" sage.categories.left_modules.LeftModules   
"right modules" sage.categories.right_modules.RightModules   
"bimodules" sage.categories.bimodules.Bimodules   
"modules" sage.categories.modules.Modules   
"magmatic algebras" sage.categories.magmatic_algebras.MagmaticAlgebras   
"associative algebras" sage.categories.associative_algebras.AssociativeAlgebras   
"unital algebras" sage.categories.unital_algebras.UnitalAlgebras   
"algebras" sage.categories.algebras.Algebras   
"modules with basis" sage.categories.modules_with_basis.ModulesWithBasis   
"magmatic algebras with basis" sage.categories.magmatic_algebras.MagmaticAlgebras.WithBasis   
"unital algebras with basis" sage.categories.unital_algebras.UnitalAlgebras.WithBasis   
"algebras with basis" sage.categories.algebras_with_basis.AlgebrasWithBasis   
"filtered modules" sage.categories.filtered_modules.FilteredModules   
"filtered algebras" sage.categories.filtered_algebras.FilteredAlgebras   
"filtered modules with basis" sage.categories.filtered_modules_with_basis.FilteredModulesWithBasis   
"filtered algebras with basis" sage.categories.filtered_algebras_with_basis.FilteredAlgebrasWithBasis   
"graded modules" sage.categories.graded_modules.GradedModules   
"graded algebras" sage.categories.graded_algebras.GradedAlgebras   
"graded modules with basis" sage.categories.graded_modules_with_basis.GradedModulesWithBasis   
"graded algebras with basis" sage.categories.graded_algebras_with_basis.GradedAlgebrasWithBasis   
"posets" sage.categories.posets.Posets Q36161 Set_(mathematics) 3.0
"coalgebras" sage.categories.coalgebras.Coalgebras   
"bialgebras" sage.categories.bialgebras.Bialgebras   
"hopf algebras" sage.categories.hopf_algebras.HopfAlgebras Q1627597 Hopf_algebra 1.0
"coalgebras with basis" sage.categories.coalgebras_with_basis.CoalgebrasWithBasis   
"bialgebras with basis" sage.categories.bialgebras_with_basis.BialgebrasWithBasis   
"hopf algebras with basis" sage.categories.hopf_algebras_with_basis.HopfAlgebrasWithBasis   
"finite dimensional modules" sage.categories.modules.Modules.FiniteDimensional   
"finite dimensional modules with basis" sage.categories.finite_dimensional_modules_with_basis.FiniteDimensionalModulesWithBasis   
"finite dimensional magmatic algebras with basis" sage.categories.magmatic_algebras.MagmaticAlgebras.WithBasis.FiniteDimensional   
"finite dimensional algebras with basis" sage.categories.finite_dimensional_algebras_with_basis.FiniteDimensionalAlgebrasWithBasis   
"finite dimensional hopf algebras with basis" sage.categories.finite_dimensional_hopf_algebras_with_basis.FiniteDimensionalHopfAlgebrasWithBasis   
"inverse unital magmas" sage.categories.magmas.Magmas.Unital.Inverse   
"groups" sage.categories.groups.Groups   
"finite groups" sage.categories.finite_groups.FiniteGroups   
"vector spaces" sage.categories.vector_spaces.VectorSpaces   
"elements of Rational Field" sage.categories.category_types.Elements   
"commutative algebras" sage.categories.commutative_algebras.CommutativeAlgebras   
"crystals" sage.categories.crystals.Crystals   
"regular crystals" sage.categories.regular_crystals.RegularCrystals   
"finitely generated magmas" sage.categories.finitely_generated_magmas.FinitelyGeneratedMagmas   
"finitely generated semigroups" sage.categories.finitely_generated_semigroups.FinitelyGeneratedSemigroups   
"finitely generated enumerated groups" sage.categories.category.JoinCategory   
"complex reflection or generalized coxeter groups" sage.categories.complex_reflection_or_generalized_coxeter_groups.ComplexReflectionOrGeneralizedCoxeterGroups   
"generalized coxeter groups" sage.categories.generalized_coxeter_groups.GeneralizedCoxeterGroups   
"coxeter groups" sage.categories.coxeter_groups.CoxeterGroups Q7874246 Coxeter_group 1.0
"Weyl groups" sage.categories.weyl_groups.WeylGroups Q768074 Weyl_group 1.0
"lattice posets" sage.categories.lattice_posets.LatticePosets   
"finite posets" sage.categories.finite_posets.FinitePosets   
"finite lattice posets" sage.categories.finite_lattice_posets.FiniteLatticePosets   
"partially ordered monoids" sage.categories.partially_ordered_monoids.PartiallyOrderedMonoids   
"highest weight crystals" sage.categories.highest_weight_crystals.HighestWeightCrystals   
"permutation groups" sage.categories.permutation_groups.PermutationGroups   
"finite finitely generated semigroups" sage.categories.finitely_generated_semigroups.FinitelyGeneratedSemigroups.Finite   
"finite enumerated permutation groups" sage.categories.finite_permutation_groups.FinitePermutationGroups   
"filtered coalgebras" sage.categories.coalgebras.Coalgebras.Filtered   
"graded coalgebras" sage.categories.graded_coalgebras.GradedCoalgebras   
"filtered coalgebras with basis" sage.categories.coalgebras_with_basis.CoalgebrasWithBasis.Filtered   
"filtered hopf algebras with basis" sage.categories.filtered_hopf_algebras_with_basis.FilteredHopfAlgebrasWithBasis   
