%column 1: human-friendly name used in lean
%column 2: lean=https://leanprover-community.github.io/mathlib_docs/
%column 3: Wikidata
"Vector space" lean:algebra/module/basic.html#module Q125977
"Vector subspace" lean:algebra/module/submodule/basic.html#subspace Q728435
"Quotient space (linear algebra)" lean:linear_algebra/quotient.html#submodule.has_quotient Q1393796
"Quotient space (topology)" lean:linear_algebra/quotient.html#submodule.has_quotient Q1139111
"Direct sum (topology)" lean:algebra/direct_sum/basic.html#direct_sum.is_internal Q5282259
"Complementary subspaces" lean:linear_algebra/basis.html#submodule.exists_is_compl Q1142861
"Linear independence" lean:linear_algebra/linear_independent.html#linear_independent Q27670
"Bases" lean:linear_algebra/basis.html#basis Q4866725
"Linear map" lean:algebra/module/linear_map.html#linear_map Q207643
"General linear group" lean:linear_algebra/general_linear_group.html#linear_map.general_linear_group Q524607
"Dual vector space" lean:linear_algebra/dual.html#module.dual Q752487
"Dual basis" lean:linear_algebra/dual.html#basis.dual_basis Q2297777
"Transpose of a linear map" lean:linear_algebra/dual.html#module.dual.transpose Q2858846
"Multilinear map" lean:linear_algebra/multilinear/basic.html#multilinear_map Q1952404
"Change of basis" lean:linear_algebra/matrix/basis.html#basis_to_matrix_mul_linear_map_to_matrix_mul_basis_to_matrix Q810255
"Rank of a matrix" lean:data/matrix/rank.html#matrix.rank Q656784
"Determinant (mathematics)" lean:linear_algebra/matrix/determinant.html#matrix.det Q178546
"Invertibility" lean:linear_algebra/matrix/nonsingular_inverse.html#matrix.has_inv Q242188
"Minimal polynomial (linear algebra)" lean:field_theory/minpoly/basic.html#minpoly Q1163608
"Minimal polynomial (field theory)" lean:field_theory/minpoly/basic.html#minpoly Q2242730
"Characteristic polynomial" lean:linear_algebra/matrix/charpoly/basic.html#matrix.charpoly Q849705
"Cayley-Hamilton theorem" lean:linear_algebra/matrix/charpoly/basic.html#matrix.aeval_self_charpoly Q656772
"Eigenvalue" lean:linear_algebra/eigenspace/basic.html#module.End.has_eigenvalue Q190524
"Eigenvector" lean:linear_algebra/eigenspace/basic.html#module.End.has_eigenvector Q190524
"Schur's lemma" lean:representation_theory/fdRep.html#fdRep.finrank_hom_simple_simple Q1816952
"Matrix exponential" lean:analysis/normed_space/exponential.html#exp Q1191722
"Group (mathematics)" lean:algebra/group/defs.html#group Q83478
