%column 1 human-friendly name in nLab
%column 2 nlab Id, nlab=https://ncatlab.org/nlab/show/
%column 3 Wikidata
"'t Hooft-Polyakov monopole" nlab:%27t+Hooft-Polyakov+monopole Q8170996
"(infinity,1)-category" nlab:https://ncatlab.org/nlab/show/(infinity,1)-categor Q7269442
"0-sphere" nlab:https://ncatlab.org/nlab/show/0-sphere Q306610
"120-cell" nlab:https://ncatlab.org/nlab/show/120-cell Q736191
"2-category" nlab:https://ncatlab.org/nlab/show/2-category Q4596935
"2-functor" nlab:https://ncatlab.org/nlab/show/2-functor Q25304059
"2-group" nlab:https://ncatlab.org/nlab/show/2-group Q4596948
"2-morphism" nlab:https://ncatlab.org/nlab/show/2-morphism Q4596935
"2-sheaf" nlab:https://ncatlab.org/nlab/show/2-sheaf Q7595945
"2-vector space" nlab:https://ncatlab.org/nlab/show/2-vector+space Q663908
"24" nlab:https://ncatlab.org/nlab/show/24 Q398302
"24-cell" nlab:https://ncatlab.org/nlab/show/24-cell Q539008
"3-category" nlab:https://ncatlab.org/nlab/show/3-category Q5758318
"3-manifold" nlab:https://ncatlab.org/nlab/show/3-manifold Q526901
"3-sphere" nlab:https://ncatlab.org/nlab/show/3-sphere Q2274197
"4-manifold" nlab:https://ncatlab.org/nlab/show/4-manifold Q2566544
"4-sphere" nlab:https://ncatlab.org/nlab/show/4-sphere Q306610
"5-manifold" nlab:https://ncatlab.org/nlab/show/5-manifold Q4639668
"5-sphere" nlab:https://ncatlab.org/nlab/show/5-sphere Q306610
"6-sphere" nlab:https://ncatlab.org/nlab/show/6-sphere Q306610
"600-cell" nlab:https://ncatlab.org/nlab/show/600-cell Q2610844
"7-sphere" nlab:https://ncatlab.org/nlab/show/7-sphere Q306610
"8-sphere" nlab:https://ncatlab.org/nlab/show/8-sphere Q306610
"A History of Western Philosophy" nlab:https://ncatlab.org/nlab/show/A+History+of+Western+Philosophy Q133740
"A-hat genus" nlab:https://ncatlab.org/nlab/show/a-hat+genus Q5533833
"A-infinity operad" nlab:https://ncatlab.org/nlab/show/a-infinity+operad Q4833569
"A1" nlab:https://ncatlab.org/nlab/show/A1 Q217441
"A2" nlab:https://ncatlab.org/nlab/show/A2 Q219337
"A3" nlab:https://ncatlab.org/nlab/show/A3 Q217875
"Ab" nlab:https://ncatlab.org/nlab/show/ab Q211141
"Abc conjecture" nlab:https://ncatlab.org/nlab/show/abc+conjecture Q306393
"Abductive reasoning" nlab:https://ncatlab.org/nlab/show/abductive+reasoning Q308495
